Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Sep 16 - Sep 28, 2020",2020-09-16,10.8,9.9,11.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Sep 16 - Sep 28, 2020",2020-09-16,8.5,7.8,9.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Sep 16 - Sep 28, 2020",2020-09-16,5.8,5.1,6.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Sep 16 - Sep 28, 2020",2020-09-16,3.3,2.7,3.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Sep 16 - Sep 28, 2020",2020-09-16,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Sep 30 - Oct 12, 2020",2020-09-30,17.5,16.1,19
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Sep 30 - Oct 12, 2020",2020-09-30,19.2,18.1,20.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Sep 30 - Oct 12, 2020",2020-09-30,21.1,20,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Sep 30 - Oct 12, 2020",2020-09-30,21.1,20,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Sep 30 - Oct 12, 2020",2020-09-30,20.1,18.9,21.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Sep 30 - Oct 12, 2020",2020-09-30,18.2,16.8,19.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Sep 30 - Oct 12, 2020",2020-09-30,12.9,10.5,15.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Sep 30 - Oct 12, 2020",2020-09-30,12.5,11.1,14.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Sep 30 - Oct 12, 2020",2020-09-30,12.4,11.5,13.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Sep 30 - Oct 12, 2020",2020-09-30,10.8,10,11.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Sep 30 - Oct 12, 2020",2020-09-30,8.3,7.6,9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Sep 30 - Oct 12, 2020",2020-09-30,5.5,5,6.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Sep 30 - Oct 12, 2020",2020-09-30,4.3,3.5,5.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Sep 30 - Oct 12, 2020",2020-09-30,2.9,1.8,4.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Sep 30 - Oct 12, 2020",2020-09-30,22.2,20.6,23.9
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Sep 30 - Oct 12, 2020",2020-09-30,24.6,23.3,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Sep 30 - Oct 12, 2020",2020-09-30,24.5,23.2,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Sep 30 - Oct 12, 2020",2020-09-30,23.6,22.4,24.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Sep 30 - Oct 12, 2020",2020-09-30,21.5,20.3,22.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Sep 30 - Oct 12, 2020",2020-09-30,19.4,17.9,21
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Sep 30 - Oct 12, 2020",2020-09-30,13.9,11.4,16.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Sep 30 - Oct 12, 2020",2020-09-30,16.6,15,18.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Sep 30 - Oct 12, 2020",2020-09-30,14,12.9,15.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Sep 30 - Oct 12, 2020",2020-09-30,10.7,10.1,11.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Sep 30 - Oct 12, 2020",2020-09-30,8.3,7.6,9.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Sep 30 - Oct 12, 2020",2020-09-30,5.2,4.6,5.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Sep 30 - Oct 12, 2020",2020-09-30,2.6,2.1,3.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Sep 30 - Oct 12, 2020",2020-09-30,2.3,1.1,4.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Oct 14 - Oct 26, 2020",2020-10-14,19.4,17.4,21.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Oct 14 - Oct 26, 2020",2020-10-14,21,19.8,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Oct 14 - Oct 26, 2020",2020-10-14,21.3,20.2,22.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Oct 14 - Oct 26, 2020",2020-10-14,22.9,21.4,24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Oct 14 - Oct 26, 2020",2020-10-14,19.5,18.4,20.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Oct 14 - Oct 26, 2020",2020-10-14,17.6,16,19.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Oct 14 - Oct 26, 2020",2020-10-14,12,8.8,16
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Oct 14 - Oct 26, 2020",2020-10-14,14.5,12.7,16.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Oct 14 - Oct 26, 2020",2020-10-14,14.5,13.4,15.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Oct 14 - Oct 26, 2020",2020-10-14,10.8,10,11.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Oct 14 - Oct 26, 2020",2020-10-14,9.6,8.5,10.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Oct 14 - Oct 26, 2020",2020-10-14,5.9,5.3,6.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Oct 14 - Oct 26, 2020",2020-10-14,3.5,2.8,4.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Oct 14 - Oct 26, 2020",2020-10-14,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Oct 14 - Oct 26, 2020",2020-10-14,24.7,22.5,27
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Oct 14 - Oct 26, 2020",2020-10-14,26.5,25.2,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Oct 14 - Oct 26, 2020",2020-10-14,25.1,23.8,26.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Oct 14 - Oct 26, 2020",2020-10-14,25.7,24.1,27.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Oct 14 - Oct 26, 2020",2020-10-14,21.4,20.3,22.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Oct 14 - Oct 26, 2020",2020-10-14,18.5,17,20.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Oct 14 - Oct 26, 2020",2020-10-14,14,9.9,19
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Oct 14 - Oct 26, 2020",2020-10-14,18.5,16.8,20.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Oct 14 - Oct 26, 2020",2020-10-14,15.3,14.2,16.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Oct 14 - Oct 26, 2020",2020-10-14,10.9,9.9,12
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Oct 14 - Oct 26, 2020",2020-10-14,8.8,7.8,10
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Oct 14 - Oct 26, 2020",2020-10-14,5.4,4.9,6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Oct 14 - Oct 26, 2020",2020-10-14,3,2.4,3.8
