Indicator,short_name,Subgroup,time_period_label,time_period_start_date,Value,LowCI,HighCI
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Apr 14 - Apr 26, 2021",2021-04-14,5.3,4.6,6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Apr 14 - Apr 26, 2021",2021-04-14,3.3,2.6,4.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Apr 14 - Apr 26, 2021",2021-04-14,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Apr 28 - May 10, 2021",2021-04-28,21,18.9,23.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Apr 28 - May 10, 2021",2021-04-28,22.2,20.8,23.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Apr 28 - May 10, 2021",2021-04-28,22.9,21.6,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Apr 28 - May 10, 2021",2021-04-28,22.7,21.4,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Apr 28 - May 10, 2021",2021-04-28,21.3,19.9,22.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Apr 28 - May 10, 2021",2021-04-28,18.5,16.8,20.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Apr 28 - May 10, 2021",2021-04-28,14.3,11.4,17.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Apr 28 - May 10, 2021",2021-04-28,16.3,14.4,18.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Apr 28 - May 10, 2021",2021-04-28,15.1,13.9,16.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Apr 28 - May 10, 2021",2021-04-28,11.1,10.3,11.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Apr 28 - May 10, 2021",2021-04-28,8.8,7.9,9.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Apr 28 - May 10, 2021",2021-04-28,6.3,5.5,7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Apr 28 - May 10, 2021",2021-04-28,4,3.3,4.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Apr 28 - May 10, 2021",2021-04-28,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Apr 28 - May 10, 2021",2021-04-28,26.6,24.2,29.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Apr 28 - May 10, 2021",2021-04-28,28.5,27,30
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Apr 28 - May 10, 2021",2021-04-28,26.3,25,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Apr 28 - May 10, 2021",2021-04-28,25.2,23.9,26.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Apr 28 - May 10, 2021",2021-04-28,22.7,21.3,24.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Apr 28 - May 10, 2021",2021-04-28,19.8,18,21.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Apr 28 - May 10, 2021",2021-04-28,17.6,13.7,22.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Apr 28 - May 10, 2021",2021-04-28,18.3,16.5,20.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Apr 28 - May 10, 2021",2021-04-28,14.3,13.2,15.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Apr 28 - May 10, 2021",2021-04-28,10.9,10,11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Apr 28 - May 10, 2021",2021-04-28,8.5,7.7,9.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Apr 28 - May 10, 2021",2021-04-28,4.8,4.3,5.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Apr 28 - May 10, 2021",2021-04-28,2.7,2.2,3.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Apr 28 - May 10, 2021",2021-04-28,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"May 12 - May 24, 2021",2021-05-12,21.7,19.9,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"May 12 - May 24, 2021",2021-05-12,20.1,18.7,21.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"May 12 - May 24, 2021",2021-05-12,20.5,19.3,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"May 12 - May 24, 2021",2021-05-12,22.8,21.4,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"May 12 - May 24, 2021",2021-05-12,22,20.4,23.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"May 12 - May 24, 2021",2021-05-12,19.9,18.1,21.7
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"May 12 - May 24, 2021",2021-05-12,15.2,11.7,19.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"May 12 - May 24, 2021",2021-05-12,16.8,15,18.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"May 12 - May 24, 2021",2021-05-12,13.4,12.1,14.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"May 12 - May 24, 2021",2021-05-12,11.5,10.6,12.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"May 12 - May 24, 2021",2021-05-12,8.6,7.8,9.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"May 12 - May 24, 2021",2021-05-12,5.4,4.9,5.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"May 12 - May 24, 2021",2021-05-12,5,3.8,6.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"May 12 - May 24, 2021",2021-05-12,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"May 12 - May 24, 2021",2021-05-12,28.2,26.1,30.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"May 12 - May 24, 2021",2021-05-12,24.9,23.2,26.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"May 12 - May 24, 2021",2021-05-12,24.3,23,25.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"May 12 - May 24, 2021",2021-05-12,25.1,23.7,26.5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"May 12 - May 24, 2021",2021-05-12,23.4,21.7,25.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"May 12 - May 24, 2021",2021-05-12,20.9,19.2,22.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"May 12 - May 24, 2021",2021-05-12,16.3,12.6,20.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"May 12 - May 24, 2021",2021-05-12,20.8,18.6,23.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"May 12 - May 24, 2021",2021-05-12,13.6,12.6,14.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"May 12 - May 24, 2021",2021-05-12,10.8,9.8,11.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"May 12 - May 24, 2021",2021-05-12,8.2,7.5,9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"May 12 - May 24, 2021",2021-05-12,5,4.4,5.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"May 12 - May 24, 2021",2021-05-12,3,2.3,3.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"May 12 - May 24, 2021",2021-05-12,5.2,2.6,9.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"May 26 - Jun 7, 2021",2021-05-26,20.9,18.8,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"May 26 - Jun 7, 2021",2021-05-26,22,20.6,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"May 26 - Jun 7, 2021",2021-05-26,21.9,20.3,23.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"May 26 - Jun 7, 2021",2021-05-26,24,22.7,25.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"May 26 - Jun 7, 2021",2021-05-26,20.7,19.6,21.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"May 26 - Jun 7, 2021",2021-05-26,18.4,16.6,20.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"May 26 - Jun 7, 2021",2021-05-26,13.7,10.6,17.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"May 26 - Jun 7, 2021",2021-05-26,17,15,19.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"May 26 - Jun 7, 2021",2021-05-26,13.7,12.7,14.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"May 26 - Jun 7, 2021",2021-05-26,10.9,10,11.8
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"May 26 - Jun 7, 2021",2021-05-26,9.6,8.6,10.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"May 26 - Jun 7, 2021",2021-05-26,5.8,5.2,6.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"May 26 - Jun 7, 2021",2021-05-26,4.3,3.4,5.4
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"May 26 - Jun 7, 2021",2021-05-26,3.3,2,5
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"May 26 - Jun 7, 2021",2021-05-26,27.3,25.2,29.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"May 26 - Jun 7, 2021",2021-05-26,27.1,25.5,28.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"May 26 - Jun 7, 2021",2021-05-26,25.5,23.9,27.1
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"May 26 - Jun 7, 2021",2021-05-26,26.6,25.3,27.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"May 26 - Jun 7, 2021",2021-05-26,22.5,21.4,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"May 26 - Jun 7, 2021",2021-05-26,19.6,17.8,21.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"May 26 - Jun 7, 2021",2021-05-26,14.6,11.3,18.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"May 26 - Jun 7, 2021",2021-05-26,17.1,15.2,19.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"May 26 - Jun 7, 2021",2021-05-26,15.2,13.5,17
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"May 26 - Jun 7, 2021",2021-05-26,10.9,9.8,12.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"May 26 - Jun 7, 2021",2021-05-26,7.5,6.8,8.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"May 26 - Jun 7, 2021",2021-05-26,5.4,4.6,6.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"May 26 - Jun 7, 2021",2021-05-26,3.2,2.3,4.4
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"May 26 - Jun 7, 2021",2021-05-26,3.1,1.5,5.8
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Jun 9 - Jun 21, 2021",2021-06-09,20.7,18.6,23
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Jun 9 - Jun 21, 2021",2021-06-09,22,20.6,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Jun 9 - Jun 21, 2021",2021-06-09,22,20.5,23.6
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Jun 9 - Jun 21, 2021",2021-06-09,21.8,20.4,23.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Jun 9 - Jun 21, 2021",2021-06-09,20.8,19.5,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Jun 9 - Jun 21, 2021",2021-06-09,19.3,17.7,21.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Jun 9 - Jun 21, 2021",2021-06-09,12.6,9.9,15.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Jun 9 - Jun 21, 2021",2021-06-09,13.9,12.1,15.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Jun 9 - Jun 21, 2021",2021-06-09,14.2,12.9,15.6
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Jun 9 - Jun 21, 2021",2021-06-09,11.6,10.6,12.7
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Jun 9 - Jun 21, 2021",2021-06-09,9.1,8.3,10.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Jun 9 - Jun 21, 2021",2021-06-09,5.5,4.9,6.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Jun 9 - Jun 21, 2021",2021-06-09,3.7,3.1,4.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Jun 9 - Jun 21, 2021",2021-06-09,3.5,2.1,5.4
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Jun 9 - Jun 21, 2021",2021-06-09,26.4,24.2,28.7
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Jun 9 - Jun 21, 2021",2021-06-09,27,25.3,28.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Jun 9 - Jun 21, 2021",2021-06-09,25.9,24.2,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Jun 9 - Jun 21, 2021",2021-06-09,24.4,23,25.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Jun 9 - Jun 21, 2021",2021-06-09,22.2,20.9,23.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Jun 9 - Jun 21, 2021",2021-06-09,20.3,18.6,22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Jun 9 - Jun 21, 2021",2021-06-09,13.9,11.2,16.9
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Jun 9 - Jun 21, 2021",2021-06-09,19.6,17.3,22.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Jun 9 - Jun 21, 2021",2021-06-09,14,12.7,15.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Jun 9 - Jun 21, 2021",2021-06-09,10.3,9.3,11.2
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Jun 9 - Jun 21, 2021",2021-06-09,7.9,7.1,8.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Jun 9 - Jun 21, 2021",2021-06-09,5.8,5.1,6.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Jun 9 - Jun 21, 2021",2021-06-09,2.5,2,3.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Jun 9 - Jun 21, 2021",2021-06-09,2.4,1.2,4.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Jun 23 - Jul 5, 2021",2021-06-23,22,19.8,24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Jun 23 - Jul 5, 2021",2021-06-23,20.9,19.4,22.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Jun 23 - Jul 5, 2021",2021-06-23,22.7,21.3,24.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Jun 23 - Jul 5, 2021",2021-06-23,22,20.6,23.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Jun 23 - Jul 5, 2021",2021-06-23,21.1,20,22.3
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Jun 23 - Jul 5, 2021",2021-06-23,19,17.3,20.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Jun 23 - Jul 5, 2021",2021-06-23,16,12.6,19.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Jun 23 - Jul 5, 2021",2021-06-23,18.6,16.2,21.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Jun 23 - Jul 5, 2021",2021-06-23,15.3,14.3,16.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Jun 23 - Jul 5, 2021",2021-06-23,11.7,10.6,12.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Jun 23 - Jul 5, 2021",2021-06-23,9,8,10
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Jun 23 - Jul 5, 2021",2021-06-23,6.5,5.7,7.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Jun 23 - Jul 5, 2021",2021-06-23,4.1,3.2,5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Jun 23 - Jul 5, 2021",2021-06-23,4.4,2.4,7.3
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Jun 23 - Jul 5, 2021",2021-06-23,29.2,26.8,31.8
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Jun 23 - Jul 5, 2021",2021-06-23,27.5,26,29
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,40 - 49 years,"Jun 23 - Jul 5, 2021",2021-06-23,26.1,24.5,27.6
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,50 - 59 years,"Jun 23 - Jul 5, 2021",2021-06-23,24.7,23.2,26.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,60 - 69 years,"Jun 23 - Jul 5, 2021",2021-06-23,22.8,21.7,24
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,70 - 79 years,"Jun 23 - Jul 5, 2021",2021-06-23,20.1,18.3,22
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,80 years and above,"Jun 23 - Jul 5, 2021",2021-06-23,17.9,14.2,22.1
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,18 - 29 years,"Jun 23 - Jul 5, 2021",2021-06-23,19.9,17.3,22.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,30 - 39 years,"Jun 23 - Jul 5, 2021",2021-06-23,15.2,13.9,16.5
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,40 - 49 years,"Jun 23 - Jul 5, 2021",2021-06-23,11.7,10.7,12.8
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,50 - 59 years,"Jun 23 - Jul 5, 2021",2021-06-23,8.4,7.4,9.6
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,60 - 69 years,"Jun 23 - Jul 5, 2021",2021-06-23,4.9,4.2,5.7
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,70 - 79 years,"Jun 23 - Jul 5, 2021",2021-06-23,3.1,2.2,4.3
"Needed Counseling or Therapy But Did Not Get It, Last 4 Weeks",wanted_therapy,80 years and above,"Jun 23 - Jul 5, 2021",2021-06-23,1.8,0.8,3.5
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,18 - 29 years,"Jul 21 - Aug 2, 2021",2021-07-21,22.9,20.9,25
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,30 - 39 years,"Jul 21 - Aug 2, 2021",2021-07-21,22.7,21.3,24.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,40 - 49 years,"Jul 21 - Aug 2, 2021",2021-07-21,23,21.6,24.4
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,50 - 59 years,"Jul 21 - Aug 2, 2021",2021-07-21,23.5,22.2,24.9
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,60 - 69 years,"Jul 21 - Aug 2, 2021",2021-07-21,22.1,21,23.1
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,70 - 79 years,"Jul 21 - Aug 2, 2021",2021-07-21,20.4,18.6,22.2
"Took Prescription Medication for Mental Health, Last 4 Weeks",took_prescription,80 years and above,"Jul 21 - Aug 2, 2021",2021-07-21,16.4,12.9,20.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,18 - 29 years,"Jul 21 - Aug 2, 2021",2021-07-21,16.9,15.1,18.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,30 - 39 years,"Jul 21 - Aug 2, 2021",2021-07-21,15.9,14.5,17.5
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,40 - 49 years,"Jul 21 - Aug 2, 2021",2021-07-21,11.2,10.2,12.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,50 - 59 years,"Jul 21 - Aug 2, 2021",2021-07-21,9.2,8.3,10.1
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,60 - 69 years,"Jul 21 - Aug 2, 2021",2021-07-21,6.3,5.7,6.9
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,70 - 79 years,"Jul 21 - Aug 2, 2021",2021-07-21,4.4,3.6,5.3
"Received Counseling or Therapy, Last 4 Weeks",got_therapy,80 years and above,"Jul 21 - Aug 2, 2021",2021-07-21,6,3.6,9.2
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,18 - 29 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
"Took Prescription Medication for Mental Health And/Or Received Counseling or Therapy, Last 4 Weeks",therapy_and_or_prescription,30 - 39 years,"Jul 6 - Jul 20, 2021",2021-07-06,NA,NA,NA
